id;title;year
tt0111161;The Shawshank Redemption;1994
tt0068646;The Godfather;1972
tt0468569;The Dark Knight;2008
tt0071562;The Godfather: Part II;1974
tt0050083;12 Angry Men;1957
tt0167260;The Lord of the Rings: The Return of the King;2003
tt0110912;Pulp Fiction;1994
tt0108052;Schindler's List;1993
tt1375666;Inception;2010
tt0137523;Fight Club;1999
tt0120737;The Lord of the Rings: The Fellowship of the Ring;2001
tt0109830;Forrest Gump;1994
tt0060196;The Good, the Bad and the Ugly;1966
tt10554232;Dara of Jasenovac;2020
tt0167261;The Lord of the Rings: The Two Towers;2002
tt0133093;The Matrix;1999
tt0099685;Goodfellas;1990
tt0080684;Star Wars: Episode V - The Empire Strikes Back;1980
tt0073486;One Flew Over the Cuckoo's Nest;1975
tt6751668;Parasite;2019
tt10189514;Soorarai Pottru;2020
tt0816692;Interstellar;2014
tt0317248;City of God;2002
tt0245429;Spirited Away;2001
tt0120815;Saving Private Ryan;1998
tt0120689;The Green Mile;1999
tt0118799;Life Is Beautiful;1997
tt0114369;Se7en;1995
tt0102926;The Silence of the Lambs;1991
tt0076759;Star Wars: Episode IV - A New Hope;1977
tt0056058;Hara-Kiri;1962
tt0047478;Seven Samurai;1954
tt0038650;It's a Wonderful Life;1946
tt8503618;Hamilton;2020
tt2582802;Whiplash;2014
tt1675434;The Intouchables;2011
tt0482571;The Prestige;2006
tt0407887;The Departed;2006
tt0253474;The Pianist;2002
tt0172495;Gladiator;2000
tt0120586;American History X;1998
tt0114814;The Usual Suspects;1995
tt0110413;Léon: The Professional;1994
tt0110357;The Lion King;1994
tt0103064;Terminator 2: Judgment Day;1991
tt0095765;Cinema Paradiso;1988
tt0095327;Grave of the Fireflies;1988
tt0088763;Back to the Future;1985
tt0064116;Once Upon a Time in the West;1968
tt0054215;Psycho;1960
tt0034583;Casablanca;1942
tt0027977;Modern Times;1936
tt0021749;City Lights;1931
tt8267604;Capernaum;2018
tt7286456;Joker;2019
tt6316138;Ayla: The Daughter of War;2017
tt6148156;Vikram Vedha;2017
tt5311514;Your Name.;2016
tt5074352;Dangal;2016
tt4633694;Spider-Man: Into the Spider-Verse;2018
tt4154796;Avengers: Endgame;2019
tt4154756;Avengers: Infinity War;2018
tt1853728;Django Unchained;2012
tt1345836;The Dark Knight Rises;2012
tt1187043;3 Idiots;2009
tt0986264;Taare Zameen Par - Ein Stern auf Erden;2007
tt0910970;WALL·E;2008
tt0405094;The Lives of Others;2006
tt0364569;Oldboy;2003
tt0209144;Memento;2000
tt0119698;Princess Mononoke;1997
tt0087843;Once Upon a Time in America;1984
tt0082971;Indiana Jones and the Raiders of the Lost Ark;1981
tt0081505;The Shining;1980
tt0078788;Apocalypse Now;1979
tt0078748;Alien;1979
tt0066763;Anand;1971
tt0057565;High and Low;1963
tt0057012;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964
tt0051201;Witness for the Prosecution;1957
tt0050825;Paths of Glory;1957
tt0047396;Rear Window;1954
tt0043014;Sunset Blvd.;1950
tt0032553;The Great Dictator;1940
tt8579674;1917;2019
tt8239946;Tumbbad;2018
tt8108198;Andhadhun;2018
tt3417422;Drishyam;2013
tt2106476;The Hunt;2012
tt1832382;A Separation;2011
tt1255953;Incendies;2010
tt10431500;7 Kogustaki Mucize;2019
tt0476735;My Father and My Son;2005
tt0361748;Inglourious Basterds;2009
tt0338013;Eternal Sunshine of the Spotless Mind;2004
tt0211915;Amélie;2001
tt0208092;Snatch;2000
tt0180093;Requiem for a Dream;2000
tt0169547;American Beauty;1999
tt0119217;Good Will Hunting;1997
tt0118849;Children of Heaven;1997
tt0114709;Toy Story;1995
tt0112573;Braveheart;1995
tt0105236;Reservoir Dogs;1992
tt0093058;Full Metal Jacket;1987
tt0091251;Come and See;1985
tt0090605;Aliens;1986
tt0086879;Amadeus;1984
tt0086250;Scarface;1983
tt0086190;Star Wars: Episode VI - Return of the Jedi;1983
tt0082096;Das Boot;1981
tt0070735;The Sting;1973
tt0066921;A Clockwork Orange;1971
tt0062622;2001: A Space Odyssey;1968
tt0056172;Lawrence of Arabia;1962
tt0053604;The Apartment;1960
tt0053125;North by Northwest;1959
tt0052357;Vertigo;1958
tt0045152;Singin' in the Rain;1952
tt0044741;Ikiru;1952
tt0040522;Bicycle Thieves;1948
tt0036775;Double Indemnity;1944
tt0033467;Citizen Kane;1941
tt0022100;M;1931
tt0017136;Metropolis;1927
tt0012349;The Kid;1921
tt9052870;Chhichhore;2019
tt8291224;Uri: The Surgical Strike;2018
tt7838252;K.G.F: Chapter 1;2018
tt6966692;Green Book;2018
tt5027774;Three Billboards Outside Ebbing, Missouri;2017
tt4934950;Talvar;2015
tt4849438;Baahubali 2: The Conclusion;2017
tt4729430;Klaus;2019
tt4430212;Drishyam;2015
tt3322420;Queen;2013
tt2991224;Tangerines;2013
tt2356180;Bhaag Milkha Bhaag;2013
tt1954470;Gangs of Wasseypur;2012
tt1639426;Udaan;2010
tt1620933;Paan Singh Tomar;2012
tt1305806;The Secret in Their Eyes;2009
tt1291584;Warrior;2011
tt1130884;Shutter Island;2010
tt1049413;Up;2009
tt0993846;The Wolf of Wall Street;2013
tt0871510;Chak De! India;2007
tt0469494;There Will Be Blood;2007
tt0457430;Pan's Labyrinth;2006
tt0435761;Toy Story 3;2010
tt0434409;V for Vendetta;2005
tt0405508;Rang De Basanti - Die Farbe Safran;2006
tt0375611;Black;2005
tt0372784;Batman Begins;2005
tt0367110;Swades;2004
tt0363163;Downfall;2004
tt0347149;Howl's Moving Castle;2004
tt0268978;A Beautiful Mind;2001
tt0242519;Hera Pheri;2000
tt0120735;Lock, Stock and Two Smoking Barrels;1998
tt0119488;L.A. Confidential;1997
tt0116231;The Bandit;1996
tt0113277;Heat;1995
tt0112641;Casino;1995
tt0109117;Andaz Apna Apna;1994
tt0105695;Unforgiven;1992
tt0097576;Indiana Jones and the Last Crusade;1989
tt0097223;Time of the Gypsies;1988
tt0096283;My Neighbor Totoro;1988
tt0095016;Die Hard;1988
tt0089881;Ran;1985
tt0081398;Raging Bull;1980
tt0079944;Stalker;1979
tt0077711;Autumn Sonata;1978
tt0075314;Taxi Driver;1976
tt0074896;The Message;1976
tt0073707;Sholay;1975
tt0071853;Monty Python and the Holy Grail;1975
tt0059578;For a Few Dollars More;1965
tt0057115;The Great Escape;1963
tt0056592;To Kill a Mockingbird;1962
tt0055630;Yojimbo;1961
tt0055031;Judgment at Nuremberg;1961
tt0053291;Some Like It Hot;1959
tt0050986;Wild Strawberries;1957
tt0050976;The Seventh Seal;1957
tt0046912;Dial M for Murder;1954
tt0046438;Tokyo Story;1953
tt0042876;Rashomon;1950
tt0042192;All About Eve;1950
tt0040897;The Treasure of the Sierra Madre;1948
tt0035446;To Be or Not to Be;1942
tt0015864;The Gold Rush;1925
tt0015324;Sherlock Jr.;1924
tt8613070;Portrait of a Lady on Fire;2019
tt5323662;A Silent Voice: The Movie;2016
tt4857264;The Invisible Guest;2016
tt4016934;The Handmaiden;2016
tt3390572;Haider;2014
tt3315342;Logan;2017
tt3011894;Wild Tales;2014
tt2948372;Soul;2020
