id;title
tt0111161;Um Sonho de Liberdade
tt0068646;O Poderoso Chefão
tt0468569;Batman: O Cavaleiro das Trevas
tt0071562;O Poderoso Chefão II
tt0167260;O Senhor dos Anéis: O Retorno do Rei
tt0110912;Pulp Fiction: Tempo de Violência
tt0108052;A Lista de Schindler
tt0050083;12 Homens e uma Sentença
tt1375666;A Origem
tt0137523;Clube da Luta
tt0120737;O Senhor dos Anéis: A Sociedade do Anel
tt0109830;Forrest Gump: O Contador de Histórias
tt0060196;Três Homens em Conflito
tt0167261;O Senhor dos Anéis: As Duas Torres
tt0133093;Matrix
tt0099685;Os Bons Companheiros
tt0080684;Star Wars, Episódio V: O Império Contra-Ataca
tt0073486;Um Estranho no Ninho
tt0056058;Harakiri
tt7286456;Coringa
tt6751668;Parasita
tt0816692;Interestelar
tt0317248;Cidade de Deus
tt0245429;A Viagem de Chihiro
tt0120815;O Resgate do Soldado Ryan
tt0120689;À Espera de um Milagre
tt0118799;A Vida é Bela
tt0114369;Seven: Os Sete Crimes Capitais
tt0102926;O Silêncio dos Inocentes
tt0076759;Guerra nas Estrelas
tt0047478;Os Sete Samurais
tt0038650;A Felicidade Não se Compra
tt8579674;1917
tt6316138;Ayla
tt4154796;Vingadores: Ultimato
tt4154756;Vingadores: Guerra Infinita
tt2582802;Whiplash: Em Busca da Perfeição
tt1675434;Intocáveis
tt0482571;O Grande Truque
tt0407887;Os Infiltrados
tt0253474;O Pianista
tt0172495;Gladiador
tt0120586;A Outra História Americana
tt0114814;Os Suspeitos
tt0110413;O Profissional
tt0110357;O Rei Leão
tt0103064;O Exterminador do Futuro 2: O Julgamento Final
tt0095765;Cinema Paradiso
tt0095327;Túmulo dos Vagalumes
tt0088763;De Volta para o Futuro
tt0064116;Era uma Vez no Oeste
tt0057565;Céu E Inferno
tt0054215;Psicose
tt0034583;Casablanca
tt0032553;O Grande Ditador
tt0027977;Tempos Modernos
tt0021749;Luzes da Cidade
tt8291224;Lethal Strike
tt8267604;Cafarnaum
tt5311514;Your Name.
tt5074352;Dangal
tt4633694;Homem-Aranha no Aranhaverso
tt3417422;Drishyam
tt2380307;Viva: A Vida é uma Festa
tt1853728;Django Livre
tt1345836;Batman: O Cavaleiro das Trevas Ressurge
tt1187043;3 Idiotas
tt0986264;Como Estrelas na Terra
tt0910970;WALL·E
tt0405094;A Vida dos Outros
tt0364569;Oldboy
tt0209144;Amnésia
tt0119698;Princesa Mononoke
tt0087843;Era uma Vez na América
tt0082971;Indiana Jones e os Caçadores da Arca Perdida
tt0081505;O Iluminado
tt0078788;Apocalypse Now
tt0078748;Alien, o Oitavo Passageiro
tt0057012;Dr. Fantástico
tt0051201;Testemunha de Acusação
tt0050825;Glória Feita de Sangue
tt0047396;Janela Indiscreta
tt0043014;Crepúsculo dos Deuses
tt8108198;Assassinato às Cegas
tt2106476;A Caça
tt1832382;A Separação
tt1255953;Incêndios
tt0476735;Meu Pai e Meu Filho
tt0435761;Toy Story 3
tt0361748;Bastardos Inglórios
tt0338013;Brilho Eterno de uma Mente sem Lembranças
tt0211915;O Fabuloso Destino de Amélie Poulain
tt0208092;Snatch: Porcos e Diamantes
tt0180093;Réquiem para um Sonho
tt0169547;Beleza Americana
tt0119217;Gênio Indomável
tt0118849;Filhos do Paraíso
tt0116231;O Bandido
tt0114709;Toy Story
tt0112573;Coração Valente
tt0105236;Cães de Aluguel
tt0093058;Nascido para Matar
tt0091251;Vá e Veja
tt0090605;Aliens, o Resgate
tt0086879;Amadeus
tt0086250;Scarface
tt0086190;Star Wars, Episódio VI: O Retorno do Jedi
tt0082096;O Barco: Inferno no Mar
tt0075314;Taxi Driver: Motorista de Táxi
tt0070735;Golpe de Mestre
tt0066921;Laranja Mecânica
tt0062622;2001: Uma Odisséia no Espaço
tt0059578;Por uns Dólares a Mais
tt0056592;O Sol é para Todos
tt0056172;Lawrence da Arábia
tt0053604;Se Meu Apartamento Falasse
tt0053125;Intriga Internacional
tt0052357;Um Corpo que Cai
tt0045152;Cantando na Chuva
tt0044741;Viver
tt0040522;Ladrões de Bicicletas
tt0036775;Pacto de Sangue
tt0033467;Cidadão Kane
tt0022100;M, o Vampiro de Dusseldorf
tt0017136;Metrópolis
tt0012349;O Garoto
tt7838252;K.G.F: Chapter 1
tt6966692;Green Book: O Guia
tt5571734;Pink
tt5323662;A Voz do Silêncio
tt5027774;Três Anúncios para um Crime
tt4934950;Culpa Declarada
tt4849438;Baahubali 2: A Conclusão
tt4729430;Klaus
tt4430212;A Chantagem
tt3322420;Queen
tt2991224;Tangerinas
tt2758880;Sono de Inverno
tt2356180;Corra, Milkha, Corra
tt2283748;OMG: Oh My God!
tt2096673;Divertida Mente
tt1954470;Gangues de Wasseypur
tt1950186;Ford vs Ferrari
tt1620933;Paan Singh Tomar
tt1305806;O Segredo dos Seus Olhos
tt1291584;Guerreiro
tt1049413;Up: Altas Aventuras
tt0993846;O Lobo de Wall Street
tt0871510;Chakde! - Ein unschlagbares Team
tt0469494;Sangue Negro
tt0457430;O Labirinto do Fauno
tt0434409;V de Vingança
tt0405508;Pinte de Açafrão
tt0375611;Black
tt0372784;Batman Begins
tt0367110;Swades - Heimat
tt0363163;A Queda! As Últimas Horas de Hitler
tt0347149;O Castelo Animado
tt0268978;Uma Mente Brilhante
tt0242519;Hera Pheri
tt0120735;Jogos, Trapaças e Dois Canos Fumegantes
tt0119488;Los Angeles: Cidade Proibida
tt0113277;Fogo Contra Fogo
tt0112641;Cassino
tt0109117;Andaz Apna Apna
tt0105695;Os Imperdoáveis
tt0097576;Indiana Jones e a Última Cruzada
tt0096283;Meu Amigo Totoro
tt0095016;Duro de Matar
tt0089881;Ran
tt0081398;Touro Indomável
tt0079944;Stalker
tt0074896;Maomé - O Mensageiro de Alá
tt0073707;Sholay
tt0071853;Monty Python em Busca do Cálice Sagrado
tt0071315;Chinatown
tt0060107;Andrei Rublev
tt0057115;Fugindo do Inferno
tt0055630;Yojimbo, o Guarda-Costas
tt0055031;Julgamento em Nuremberg
tt0053291;Quanto Mais Quente Melhor
tt0050986;Morangos Silvestres
tt0050976;O Sétimo Selo
tt0046912;Disque M para Matar
tt0046438;Era uma Vez em Tóquio
tt0043338;A Montanha dos 7 Abutres
tt0042876;Rashomon
tt0042192;A Malvada
tt0042041;Fúria Sanguinária
tt0040897;O Tesouro da Sierra Madre
tt0040725;Os Sapatinhos Vermelhos
tt0015864;Em Busca do Ouro
tt0015324;Bancando o Águia
tt7653254;História de um Casamento
tt4857264;Um Contratempo
tt4016934;A Criada
tt3612616;Mommy
tt3390572;Haider
tt3315342;Logan
tt3281548;Adoráveis Mulheres
tt3170832;O Quarto de Jack
tt3011894;Relatos Selvagens
tt2631186;Bahubali: O Início
tt2338151;PK - Andere Sterne, Andere Sitten
tt2278388;O Grande Hotel Budapeste
tt2267998;Garota Exemplar
tt2140203;Crianças Lobo
tt2119532;Até o Último Homem
tt2082197;Barfi!
tt2024544;12 Anos de Escravidão
tt1979320;Rush: No Limite da Emoção
tt1895587;Spotlight: Segredos Revelados
tt1865505;A Canção do Oceano
tt1821480;Kahaani
tt1639426;Udaan
tt1562872;Três Amigos na Estrada
tt1454029;Histórias Cruzadas
tt1392214;Os Suspeitos
tt1392190;Mad Max: Estrada da Fúria
tt1280558;A Wednesday
tt1205489;Gran Torino
tt1201607;Harry Potter e as Relíquias da Morte - Parte 2
tt1130884;Ilha do Medo
tt1069238;A Partida
tt1028532;Sempre ao Seu Lado
tt0978762;Mary e Max: Uma Amizade Diferente
tt0892769;Como Treinar o Seu Dragão
tt0861739;Tropa de Elite
tt0758758;Na Natureza Selvagem
tt0477348;Onde os Fracos Não Têm Vez
tt0456144;Siga em Frente Munna Bhai
tt0405159;Menina de Ouro
tt0395169;Hotel Ruanda
tt0386064;A Irmandade da Guerra
tt0374887;Munna Bhai M.B.B.S.
tt0353969;Memórias de um Assassino
tt0292490;O Que o Coração Deseja
tt0266697;Kill Bill: Volume 1
tt0266543;Procurando Nemo
tt0264464;Prenda-me se for Capaz
tt0245712;Amores Brutos
tt0169858;Neon Genesis Evangelion: O Fim do Evangelho
tt0169102;Lagaan: Era uma Vez na Índia
tt0167404;O Sexto Sentido
tt0120731;A Lenda do Pianista do Mar
tt0120382;O Show de Truman: O Show da Vida
tt0118843;Gata Preta, Gato Branco
tt0118715;O Grande Lebowski
tt0118694;Amor à Flor da Pele
tt0117951;Trainspotting: Sem Limites
tt0116282;Fargo: Uma Comédia de Erros
tt0114787;Underground - Mentiras de Guerra
tt0113247;O Ódio
tt0112870;Dilwale Dulhania Le Jayenge
tt0112471;Antes do Amanhecer
tt0111495;A Fraternidade é Vermelha
tt0109424;Amores Expressos
tt0107290;Jurassic Park: O Parque dos Dinossauros
tt0107207;Em Nome do Pai
tt0101640;Lanternas Vermelhas
tt0097165;Sociedade dos Poetas Mortos
tt0093779;A Princesa Prometida
tt0092005;Conta Comigo
tt0091763;Platoon
tt0087884;Paris, Texas
tt0087544;Nausicaä do Vale do Vento
tt0084787;O Enigma de Outro Mundo
tt0084503;Pink Floyd - The Wall
tt0083946;Fitzcarraldo
tt0083922;Fanny e Alexander
tt0083658;Blade Runner: O Caçador de Androides
tt0080678;O Homem Elefante
tt0079470;A Vida de Brian
tt0077416;O Franco Atirador
tt0075148;Rocky: Um Lutador
tt0074958;Rede de Intrigas
tt0072684;Barry Lyndon
tt0072443;O Espelho
tt0069467;Gritos e Sussurros
tt0069293;Solaris
tt0062229;O Samurai
tt0061512;Rebeldia Indomável
tt0060827;Quando Duas Mulheres Pecam
tt0058946;A Batalha de Argel
tt0056732;O Anjo Exterminador
tt0056687;O que Terá Acontecido a Baby Jane?
tt0056443;Sanjuro
tt0056217;O Homem que Matou o Facínora
tt0056111;A Infância de Ivan
tt0053946;O Vento Será Tua Herança
tt0053198;Os Incompreendidos
tt0052618;Ben-Hur
tt0051808;A Fortaleza Escondida
tt0051036;A Embriaguez do Sucesso
tt0050783;Noites de Cabíria
tt0050613;Trono Manchado de Sangue
tt0050212;A Ponte do Rio Kwai
tt0047296;Sindicato de Ladrões
tt0046268;O Salário do Medo
tt0041959;O 3º Homem
tt0033045;A Loja da Esquina
tt0032976;Rebecca, a Mulher Inesquecível
tt0031885;A Regra do Jogo
tt0031679;A Mulher Faz o Homem
tt0031381;...E o Vento Levou
tt0028950;A Grande Ilusão
tt0025316;Aconteceu Naquela Noite
tt0019254;O Martírio de Joana D'Arc
tt0018455;Aurora
tt0017925;A General
tt0010323;O Gabinete do Dr. Caligari
tt8946378;Entre Facas e Segredos
tt8075192;Assunto de Família
tt4387040;Transporte Aéreo
tt3863552;Bajrangi Bhaijaan
tt3848892;Baby
tt3783958;La La Land: Cantando Estações
tt3741834;Lion: Uma Jornada para Casa
tt3659388;Perdido em Marte
tt3544112;Sing Street: Música e Sonho
tt2948356;Zoomania
tt2584384;Jojo Rabbit
tt2576852;O Conto da Princesa Kaguya
tt2543472;Extraordinário
tt2377938;Special Chabbis
tt2370248;Temporário 12
tt2265171;Operação Invasão 2
tt2084970;O Jogo da Imitação
tt2015381;Guardiões da Galáxia
tt1877832;X-Men: Dias de um Futuro Esquecido
tt1856101;Blade Runner 2049
tt1798709;Ela
tt1727824;Bohemian Rhapsody
tt1663202;O Regresso
tt1659337;As Vantagens de Ser Invisível
tt1555149;Tropa de Elite 2: O Inimigo Agora é Outro
tt1504320;O Discurso do Rei
tt1431045;Deadpool
tt1360860;Procurando Elly
tt1327035;Dev.D
tt1302006;O Irlandês
tt1220719;O Grande Mestre
tt1188996;Meu Nome é Khan
tt1171701;Nefes - Der Atemzug
tt1010048;Quem Quer Ser um Milionário?
tt0947798;Cisne Negro
tt0848228;The Avengers: Os Vingadores
tt0808417;Persépolis
tt0790636;Clube de Compras Dallas
tt0454921;À Procura da Felicidade
tt0450259;Diamante de Sangue
tt0440963;O Ultimato Bourne
tt0423866;Casa Vazia
tt0401792;Sin City: A Cidade do Pecado
tt0401383;O Escafandro e a Borboleta
tt0384116;G.O.R.A.
tt0382932;Ratatouille
tt0381681;Antes do Pôr-do-Sol
tt0381061;007: Cassino Royale
tt0378194;Kill Bill: Volume 2
tt0376968;O Retorno
tt0374546;Primavera, Verão, Outono, Inverno... e Primavera
tt0369702;Mar Adentro
tt0352248;A Luta pela Esperança
tt0347304;Indian Love Story - Kal Ho Naa Ho
tt0338564;Conflitos Internos
tt0325980;Piratas do Caribe: A Maldição do Pérola Negra
tt0319061;Peixe Grande e suas Histórias Maravilhosas
tt0317705;Os Incríveis
tt0293715;Ironias do Amor
tt0276919;Dogville
tt0270053;Vison Tele
tt0246578;Donnie Darko
tt0198781;Monstros S.A.
tt0175880;Magnólia
tt0168629;Dançando no Escuro
tt0166896;Uma História Real
tt0156887;Perfect Blue
tt0154420;Festa de Família
tt0140888;Central do Brasil
tt0129167;O Gigante de Ferro
tt0119472;Knockin' on Heaven's Door
tt0117666;Na Corda Bamba
tt0117589;Segredos e Mentiras
tt0114746;Os 12 Macacos
tt0113824;Sussurros do Coração
tt0113568;O Fantasma do Futuro
tt0107688;O Estranho Mundo de Jack
tt0107048;Feitiço do Tempo
tt0106469;Marcados Pelo Sangue
tt0105323;Perfume de Mulher
tt0103639;Aladdin
tt0102138;JFK: A Pergunta que Não Quer Calar
tt0101414;A Bela e a Fera
tt0099348;Dança com Lobos
tt0095953;Rain Man
tt0094625;Akira
tt0093191;Asas do Desejo
tt0092593;Adeus, Meninos
tt0092067;O Castelo no Céu
tt0088247;O Exterminador do Futuro
tt0085334;Uma História de Natal
tt0083987;Gandhi
tt0080979;Kagemusha, a Sombra de um Samurai
tt0078841;Muito Além do Jardim
tt0075686;Noivo Neurótico, Noiva Nervosa
tt0074119;Todos os Homens do Presidente
tt0073195;Tubarão
tt0072890;Um Dia de Cão
tt0072431;O Jovem Frankenstein
tt0070511;Papillon
tt0070510;Lua de Papel
tt0070047;O Exorcista
tt0069281;Jogo Mortal
tt0068182;Aguirre, a Cólera dos Deuses
tt0067328;A Última Sessão de Cinema
tt0067093;Um Violinista no Telhado
tt0064115;Butch Cassidy
tt0063522;O Bebê de Rosemary
tt0063442;O Planeta dos Macacos
tt0061811;No Calor da Noite
tt0061722;A Primeira Noite de um Homem
tt0061184;Quem Tem Medo de Virginia Woolf?
tt0059742;A Noviça Rebelde
tt0059113;Doutor Jivago
tt0058461;Por Um Punhado de Dólares
tt0056801;8½
tt0054997;Desafio à Corrupção
tt0053779;A Doce Vida
tt0053221;Onde Começa o Inferno
tt0052561;Anatomia de um Crime
tt0052311;A Marca da Maldade
tt0051459;Gata em Teto de Zinco Quente
tt0049406;O Grande Golpe
tt0048424;O Mensageiro do Diabo
tt0047528;A Estrada da Vida
tt0046911;As Diabólicas
tt0046359;O Inferno Nº 17
tt0046250;A Princesa e o Plebeu
tt0044081;Uma Rua Chamada Pecado
tt0044079;Pacto Sinistro
tt0041546;As Oito Vítimas
tt0040746;Festim Diabólico
tt0039689;Fuga do Passado
tt0037558;Desencanto
tt0037008;Laura
tt0036868;Os Melhores Anos de Nossa Vida
tt0036613;Este Mundo é um Hospício
tt0033870;Relíquia Macabra
tt0032551;As Vinhas da Ira
tt0032138;O Mágico de Oz
tt0020629;Sem Novidade no Front
tt0015648;O Encouraçado Potemkin
tt5726616;Me Chame pelo Seu Nome
tt5168192;Eu, Daniel Blake
tt5104604;Ilha dos Cachorros
tt5013056;Dunkirk
tt4698684;A Incrível Aventura de Rick Baker
tt3553976;Capitão Fantástico
tt3501632;Thor: Ragnarok
tt2872718;O Abutre
tt2543164;A Chegada
tt2488496;Star Wars: O Despertar da Força
tt2209418;Antes da Meia-Noite
tt1979376;Toy Story 4
tt1827487;Era uma Vez na Anatolia
tt1655442;O Artista
tt1631867;No Limite do Amanhã
tt1602620;Amor
tt1398426;Straight Outta Compton: A História do N.W.A.
tt1235166;O Profeta
tt1190539;O Caçador
tt1182345;Lunar
tt1139797;Deixa Ela Entrar
tt1136608;Distrito 9
tt1125849;O Lutador
tt1093370;Als ich Dich traf
tt1065073;Boyhood: Da Infância à Juventude
tt1032846;4 Meses, 3 Semanas e 2 Dias
tt0796366;Star Trek
tt0780536;Na Mira do Chefe
tt0756683;O Homem da Terra
tt0498380;Cartas de Iwo Jima
tt0460791;Dublê de Anjo
tt0454876;As Aventuras de Pi
tt0401085;C.R.A.Z.Y. - Loucos de Amor
tt0372824;A Voz do Coração
tt0371746;Homem de Ferro
tt0365748;Todo Mundo Quase Morto
tt0347048;Contra a Parede
tt0327056;Sobre Meninos e Lobos
tt0304141;Harry Potter e o Prisioneiro de Azkaban
tt0299977;Herói
tt0287467;Fale com Ela
tt0283509;Terra de Ninguém
tt0275277;Cowboy Bebop: O Filme
tt0258463;A Identidade Bourne
tt0247586;Nove Rainhas
tt0206634;Filhos da Esperança
tt0181875;Quase Famosos
tt0166924;Cidade dos Sonhos
tt0120363;Toy Story 2
tt0118749;Boogie Nights: Prazer Sem Limites
tt0115751;Ondas do Destino
tt0110729;O Amor e a Fúria
tt0108399;Amor à Queima Roupa
tt0108394;A Liberdade é Azul
tt0107692;Ninja Scroll
tt0106519;O Pagamento Final
tt0099487;Edward Mãos de Tesoura
tt0097937;Meu Pé Esquerdo
tt0097814;O Serviço de Entregas da Kiki
tt0097216;Faça a Coisa Certa
tt0097123;Crimes e Pecados
tt0094226;Os Intocáveis
tt0091167;Hannah e suas Irmãs
tt0088847;Clube dos Cinco
tt0088846;Brazil: O Filme
tt0088258;Isto é Spinal Tap
tt0080455;Os Irmãos Cara de Pau
tt0079522;Manhattan
tt0078754;O Show Deve Continuar
tt0077405;Cinzas no Paraíso
tt0077402;Despertar dos Mortos
tt0075029;Josey Wales, o Fora da Lei
tt0071615;A Montanha Sagrada
tt0071129;Amarcord
tt0068361;O Discreto Charme da Burguesia
tt0067185;Ensina-me a Viver
tt0066206;Patton, Rebelde ou Herói?
tt0065214;Meu Ódio Será Sua Herança
tt0063350;A Noite dos Mortos-Vivos
tt0063227;O Leão no Inverno
tt0056923;Charada
tt0056218;Sob o Domínio do Mal
tt0054331;Spartacus
tt0053472;Acossado
tt0052893;Hiroshima, Meu Amor
tt0049730;Rastros de Ódio
tt0048028;Vidas Amargas
tt0044706;Matar ou Morrer
tt0042546;Meu Amigo Harvey
tt0039628;De Ilusão Também se Vive
tt0038787;Interlúdio
tt0038355;À Beira do Abismo
tt0037884;Farrapo Humano
tt0037382;Uma Aventura na Martinica
tt0036342;A Sombra de uma Dúvida
tt0032904;Núpcias de Escândalo
tt0032599;Jejum de Amor
tt0031971;No Tempo das Diligências
tt0029947;Levada da Breca
tt0029843;As Aventuras de Robin Hood
tt0026778;Uma Noite na Ópera
tt0024216;King Kong
tt0022913;Monstros
tt0013442;Nosferatu
tt7984734;O Farol
tt5727208;Joias Brutas
tt5186714;O Apartamento
tt4912910;Missão: Impossível - Efeito Fallout
tt4901306;Perfeitos Desconhecidos
tt4846340;Estrelas Além do Tempo
tt4468740;Paddington 2
tt4302938;Kubo e as Cordas Mágicas
tt4034228;Manchester à Beira-Mar
tt3841424;Terra de Minas
tt3748528;Rogue One: Uma História Star Wars
tt3498820;Capitão América: Guerra Civil
tt3460252;Os Oito Odiados
tt3262342;Com Amor, Van Gogh
tt3169706;Orgulho e Esperança
tt2404461;O Passado
tt2358891;A Grande Beleza
tt2350496;The Lunchbox
tt2317337;Vicky Donor
tt2245084;Operação Big Hero
tt2194499;Questão de Tempo
tt2181931;Englisch für Anfänger
tt2024519;Alabama Monroe
tt2013293;Vidas ao Vento
tt1924396;O Melhor Lance
tt1748122;Moonrise Kingdom
tt1646971;Como Treinar o Seu Dragão 2
tt1596363;A Grande Aposta
